rank,ticker,price,score,composite_score,strong_close_pts,close_position_pct,volume_pts,volume_vs_avg,base_breakout_pts,base_range_pct,rs_pts,rs_edge_pct,room_pts,resistance_clearance_pct
137,JYOTICNC.NS,812.75,2,39.3,0,26.9,0,0.37,0,9.2,1,6.6,1,1.2
138,PVRINOX.NS,1131.45,2,39.3,0,37.5,0,1.25,0,18.6,1,6.3,1,0.8
139,SBIN.NS,1025.3,2,39.2,2,85.5,0,0.58,0,4.7,0,-2.9,0,4.6
140,VOLTAS.NS,1333.2,2,39.1,2,87.3,0,0.61,0,9.9,0,-8.6,0,3.3
141,LENSKART.NS,563.2,2,39.0,0,45.2,0,0.33,0,13.1,1,8.7,1,1.6
142,DABUR.NS,426.1,2,38.8,0,60.5,2,2.71,0,7.4,0,-3.7,0,13.0
143,JSL.NS,737.75,2,38.7,2,90.1,0,0.47,0,8.4,0,-5.8,0,3.9
144,WOCKPHARMA.NS,1904.0,2,38.5,0,60.4,0,0.23,0,8.5,2,33.0,0,13.1
145,NIVABUPA.NS,85.92,2,38.3,0,31.6,0,0.46,0,4.5,1,7.8,1,2.8
146,INDIGO.NS,5230.5,2,38.2,0,57.0,0,0.46,0,9.3,2,22.1,0,4.2
147,UNIONBANK.NS,170.4,2,38.2,1,78.6,0,0.59,0,14.1,1,6.5,0,3.4
148,POONAWALLA.NS,476.9,2,37.7,0,39.0,0,0.51,0,13.2,1,8.5,1,1.7
149,KFINTECH.NS,940.5,2,36.3,1,70.2,0,0.98,0,16.4,1,9.8,0,3.5
